rank#,id,admissionTotalNumber,school,学校,国家,isPublic
209,320,4,New Hampton School,新汉普顿中学,美国,0
210,350,1,The Episcopal School of Texas,,美国,0
211,360,3,Wilbraham and Monson Academy,韦伯拉汉·莫森中学,美国,0
212,366,6,Canterbury School FortMyers,,美国,0
213,369,2,Kristin School,,美国,0
214,387,2,Staten Island Academy,,美国,0
215,429,9,Lord Byng Secondary School,,美国,0
216,499,9,Georgiana Bruce Kirby Preparatory School,,美国,0
217,796,6,Holderness School,,美国,0
218,899,1,Southwestern Academy,,美国,0
219,1103,5,Allendale Columbia School,,美国,0
220,1104,2,Princeton High School,,美国,0
221,1147,2,Verde Valley School,,美国,0
222,1238,2,Seaquam Secondary School,,美国,0
223,1404,1,William P Clements High School,,美国,0
224,1536,1,San Joaquin Memorial High School,,美国,0
225,1558,7,Bishop Ready High School,,美国,0
226,10007,4,Warwick School,,英国,0
227,10020,2,St. Paul's School for Boys,,美国,0
228,10090,3,Reed Henderson High School,Reed Henderson High School,美国,0
229,10224,15,Frankfurt International School,Frankfurt International School,德国,0
230,10232,8,Winchester High School	,Winchester High School	,美国,1
231,177,10,Santa Margarita Catholic High School,,美国,0
232,235,1,Friends Select School,,美国,0
233,265,1,Lexington Christian Academy,,美国,0
234,311,1,Pacific Academy,,美国,0
235,420,6,Berkshire School,,美国,0
236,435,1,Delaware County Christian School,,美国,0
237,445,2,La Salle College High School,,美国,0
238,461,2,Strath Haven High School,Strath Haven High School,美国,0
239,524,6,St Stephen's School,St Stephen's School,美国,0
240,627,5,Brookfield academy,,美国,0
241,642,1,The Storm King School,,美国,0
242,691,2,The Derryfield school,,美国,0
243,804,11,Mulgrave School,,美国,0
244,829,7,Western Christian High School,,美国,0
245,843,3,Charter School of Wilmington,,美国,0
246,862,10,Montgomery High School,,美国,0
247,875,1,Woodbridge High School,,美国,0
248,885,4,Tallulah Falls School,,美国,0
249,907,2,McLean High School,,美国,0
250,938,1,Montverde Academy,蒙特沃德学院,美国,0
251,952,4,Christchurch School,,美国,0
252,1116,2,Mater Dei High School,,美国,0
253,1157,7,Southlands Christian High School,,美国,0
254,1362,3,Lowell High School,,美国,0
255,1397,1,Great Valley High School,,美国,0
256,1415,2,Fort Hamilton High School,,美国,0
257,1560,1,Cape Fear Academy,,美国,0
258,10006,9,Chaminade College Preparatory,,美国,0
259,10023,1,Aragon High school,,美国,0
260,10035,3,la salle academy,la salle academy,美国,0
261,10052,3,Roycemore School,Roycemore School,美国,0
262,10075,4,Covenant Christian High School,Covenant Christian High School,美国,0
263,10146,4,Cupertino High School,,美国,1
264,10171,2,Green Hill School	,Green Hill School	,美国,0
265,10184,2,Grand Rapids Christian High School,Grand Rapids Christian High School,美国,1
266,10220,10,South Hills Academy,South Hills Academy,美国,1
267,10233,16,Asheville School,阿什维尔学校,美国,1
268,10255,2,Northwood High School,,美国,1
269,146,1,Cascia Hall Preparatory School,,美国,0
270,159,1,Semiahmoo Secondary,,美国,0
271,195,2,Benjamin School,Benjamin School,美国,0
272,204,1,Gunnery,,美国,0
273,328,9,The Ethel Walker School,艾索沃克女子高中,美国,0
274,331,1,Brimmer and May,,美国,0
275,343,1,Wellesley High School,,美国,0
276,347,5,South Kent School,,美国,0
277,408,1,St. Louis Universion High School,,美国,0
278,457,3,St. Michaels University School,St. Michaels University School,美国,0
279,540,5,Morgan Park Academy,Morgan Park Academy,美国,0
280,544,5,The Harvey School,,美国,0
281,574,7,Vivian Webb School,,美国,0
282,585,10,West Windsor High School	,West Windsor High School	,美国,1
283,614,1,Asheville School,,美国,0
284,636,3,Gunn High School,,美国,0
285,640,1,Arcadia High School,,美国,0
286,656,1,Newton South High School,,美国,0
287,793,5,Albany Academies,,美国,0
288,867,1,Newton North High School,,美国,0
289,883,2,Army & Navy Academy,,美国,0
290,900,3,Portledge School,,美国,0
291,1075,1,Fontbonne Academy,,美国,0
292,1098,6,Windermere Preparatory School,,美国,0
293,1172,6,Sewickley Academy,,美国,0
294,1242,1,Scarsdale High School,,美国,0
295,1277,5,Northwest Catholic High School,,美国,0
296,1302,1,Lancaster Catholic High School,,美国,0
297,1328,9,Roland Park Country School,,美国,0
298,1386,7,新加坡立化中学,,新加坡,0
299,1389,6,Conestoga Senior High School,,美国,0
300,1432,3,Community School of Naples,,美国,0
301,1512,5,Millburn High School,,美国,0
302,1529,1,Moorestown Friends School,,美国,0
303,1542,3,The Steward School,,美国,0
304,1557,1,Crean Lutheran High School,,美国,0
305,1574,3,Wellington Secondary College,Wellington Secondary College,澳大利亚,0
306,10024,4,"The King's School, Canterbury",坎特伯雷国王学校,英国,0
307,10026,1,North Cross School,North Cross School ,美国,0
308,10034,1,Prince of Wales Secondary School,Prince of Wales Secondary School,加拿大,0
309,10043,2,Wayland Academy,wayland academy,美国,0
310,10044,1,Hatboro-Horsham High Schoo,Hatboro-Horsham High Schoo,美国,0
311,10056,1,Lower Canada College,Lower Canada College,加拿大,0
312,10060,1,Greenwood Laboratory School,Greenwood Laboratory School,美国,0
